ticker,sector,esg_mean,esg_letter,esg_z_mean,ev_bn,idio_vol_ann,beta,revenue_growth_pct,ebitda_margin_pct,capex_intensity_pct,cost_of_equity_pct
SIM033,Utilities,43.0,A,0.677,29.95,17.78,0.939,-4.38,17.09,4.1,8.02
SIM034,Consumer Staples,22.5,B,-1.137,18.43,19.01,1.102,7.98,13.64,5.65,8.4
SIM035,Materials,23.5,B,-1.048,14.64,21.72,1.094,7.07,11.35,4.07,8.76
SIM036,Consumer Staples,31.6,BB,-0.299,11.37,19.17,1.027,-0.5,19.67,5.21,8.32
SIM037,Information Technology,27.2,B,-0.738,6.28,26.94,1.066,1.07,11.35,4.51,9.43
SIM038,Materials,18.4,CCC,-1.521,81.56,19.13,1.137,2.48,10.45,7.54,8.46
SIM039,Communication Services,28.9,BB,-0.551,13.69,24.87,1.05,3.44,11.93,5.22,9.12
SIM040,Consumer Staples,28.1,BB,-0.63,9.47,20.18,1.057,6.48,13.33,5.01,8.5
SIM041,Consumer Discretionary,37.1,BBB,0.15,22.51,25.14,0.987,6.84,14.52,5.66,9.08
SIM042,Utilities,49.8,AA,1.271,145.54,16.83,0.886,7.29,13.31,6.16,7.82
SIM043,Financial Services,30.0,BB,-0.486,37.51,22.06,1.044,9.14,18.86,4.96,8.74
SIM044,Financial Services,29.5,BB,-0.512,26.97,17.86,1.046,4.6,11.81,7.13,8.17
SIM045,Consumer Staples,43.0,A,0.652,483.1,11.14,0.941,9.31,11.71,6.69,7.13
SIM046,Consumer Staples,39.3,A,0.351,48.43,17.55,0.968,5.75,14.93,7.52,8.03
SIM047,Health Care,23.0,B,-1.07,21.14,27.7,1.096,5.06,13.11,4.75,9.57
SIM048,Information Technology,58.3,AAA,2.063,23.85,24.17,0.814,9.0,13.36,6.01,8.72
SIM049,Energy,21.2,B,-1.242,288.74,24.51,1.112,2.11,9.64,6.43,9.16
SIM050,Utilities,43.5,AA,0.722,171.63,18.48,0.935,3.66,19.23,6.73,8.11
SIM051,Health Care,27.2,B,-0.721,144.84,19.36,1.065,5.59,19.27,5.86,8.4
SIM052,Financial Services,30.4,BB,-0.467,290.55,14.42,1.042,6.09,14.49,5.43,7.7
SIM053,Consumer Staples,28.6,BB,-0.595,44.36,17.71,1.054,5.79,13.92,5.71,8.16
SIM054,Industrials,32.5,BB,-0.251,156.6,16.76,1.023,9.47,13.69,2.56,7.99
SIM055,Information Technology,31.8,BB,-0.318,178.01,26.67,1.029,2.89,15.7,3.85,9.34
SIM056,Information Technology,35.0,BBB,-0.023,17.89,25.51,1.002,2.42,12.68,6.6,9.15
SIM057,Energy,10.5,CCC,-2.195,234.59,25.82,1.198,8.69,11.11,4.79,9.45
SIM058,Financial Services,10.8,CCC,-2.146,90.87,12.86,1.193,1.12,11.32,5.9,7.69
SIM059,Energy,20.1,CCC,-1.339,18.31,34.05,1.121,7.62,20.05,4.35,10.46
SIM060,Consumer Discretionary,31.4,BB,-0.367,36.31,23.51,1.033,7.36,15.67,4.62,8.92
SIM061,Health Care,15.8,CCC,-1.725,14.18,17.57,1.155,7.93,16.74,5.07,8.28
SIM062,Communication Services,35.9,BBB,0.071,47.39,21.58,0.994,7.39,7.96,4.79,8.6
SIM063,Information Technology,25.2,B,-0.892,18.6,22.04,1.08,5.81,16.19,3.3,8.78
SIM064,Information Technology,50.7,AAA,1.374,33.93,25.77,0.876,3.11,18.66,6.11,9.01
SIM065,Communication Services,29.5,BB,-0.531,19.48,20.6,1.048,5.85,17.52,4.5,8.55
SIM066,Consumer Discretionary,17.3,CCC,-1.6,17.19,25.73,1.144,9.61,13.69,7.75,9.37
SIM067,Information Technology,49.7,AA,1.258,90.6,19.59,0.887,8.16,11.7,6.67,8.19
SIM068,Utilities,43.5,AA,0.724,306.22,12.96,0.935,3.75,15.4,5.59,7.36
SIM069,Communication Services,34.4,BBB,-0.081,22.63,31.56,1.007,0.4,12.55,5.34,9.97
SIM070,Real Estate,43.3,A,0.703,207.32,14.4,0.937,11.45,14.03,6.13,7.56
SIM071,Materials,28.0,BB,-0.64,22.78,20.66,1.058,1.35,9.29,4.32,8.57
SIM072,Financial Services,30.1,BB,-0.474,10.04,21.91,1.043,6.12,15.11,4.9,8.72
SIM073,Consumer Discretionary,35.1,BBB,-0.023,29.71,18.08,1.002,-2.01,14.21,7.4,8.14
SIM074,Real Estate,44.8,AA,0.836,154.96,14.45,0.925,9.65,10.94,2.6,7.55
SIM075,Health Care,29.2,BB,-0.552,473.34,18.0,1.05,3.78,11.82,5.29,8.2
SIM076,Consumer Discretionary,38.1,A,0.256,13.4,21.89,0.977,3.31,8.74,6.37,8.62
SIM077,Information Technology,42.4,A,0.635,82.92,22.54,0.943,7.02,11.54,6.04,8.67
SIM078,Information Technology,40.0,A,0.417,50.88,19.37,0.963,2.91,10.69,3.63,8.26
SIM079,Information Technology,26.0,B,-0.816,30.54,19.82,1.073,8.47,14.76,4.83,8.47
SIM080,Consumer Staples,37.4,BBB,0.183,111.74,15.06,0.983,4.22,10.0,7.8,7.71
SIM081,Consumer Discretionary,23.6,B,-1.022,175.59,20.41,1.092,9.27,9.49,3.6,8.58
SIM082,Information Technology,47.1,AA,1.053,81.19,24.68,0.905,6.96,17.12,5.21,8.9
SIM083,Communication Services,32.0,BB,-0.282,291.48,19.51,1.025,4.72,15.43,4.01,8.37
SIM084,Communication Services,39.6,A,0.372,107.32,19.02,0.966,7.65,12.68,5.72,8.22
SIM085,Utilities,30.5,BB,-0.408,93.18,19.66,1.037,11.82,15.35,6.65,8.4
SIM086,Consumer Discretionary,25.6,B,-0.849,421.79,19.38,1.076,3.22,11.63,5.47,8.42
SIM087,Consumer Discretionary,32.8,BBB,-0.222,67.49,16.54,1.02,7.54,12.74,6.39,7.96
SIM088,Industrials,45.5,AA,0.898,82.84,22.42,0.919,4.91,10.46,6.2,8.62
SIM089,Financial Services,35.8,BBB,0.045,72.49,14.75,0.996,5.01,16.27,3.75,7.69
SIM090,Communication Services,37.5,BBB,0.209,24.96,22.54,0.981,7.34,14.51,4.88,8.72
SIM091,Information Technology,51.4,AAA,1.432,79.95,24.36,0.871,8.18,15.16,6.33,8.82
SIM092,Real Estate,36.2,BBB,0.097,25.74,23.32,0.991,2.13,5.95,6.44,8.84
SIM093,Information Technology,44.1,AA,0.783,4.57,29.03,0.93,4.0,8.44,6.54,9.52
SIM094,Financial Services,28.3,BB,-0.642,53.84,21.13,1.058,3.04,10.88,4.37,8.63
SIM095,Industrials,24.8,B,-0.926,73.04,23.41,1.083,5.58,12.29,3.37,8.97
SIM096,Consumer Staples,32.9,BBB,-0.229,32.68,20.86,1.021,8.7,7.13,5.81,8.54
SIM097,Information Technology,52.1,AAA,1.495,27.31,24.11,0.865,6.84,9.78,5.62,8.78
SIM098,Health Care,35.7,BBB,0.053,54.01,19.09,0.995,5.91,15.17,5.72,8.27
SIM099,Information Technology,47.4,AA,1.082,51.88,27.41,0.903,10.24,9.41,5.55,9.27
SIM100,Information Technology,42.5,A,0.639,28.5,20.94,0.943,5.75,15.46,4.84,8.45
SIM101,Industrials,42.3,A,0.621,30.71,21.86,0.944,5.23,6.66,4.6,8.58
SIM102,Consumer Discretionary,29.0,BB,-0.55,62.64,26.07,1.05,10.0,11.04,6.67,9.28
SIM103,Materials,17.4,CCC,-1.583,26.58,26.74,1.143,7.77,13.54,4.31,9.5
SIM104,Information Technology,44.6,AA,0.818,78.53,20.78,0.926,5.43,13.23,4.83,8.41
SIM105,Health Care,36.8,BBB,0.153,55.84,23.31,0.986,1.58,9.95,5.28,8.83
SIM106,Health Care,43.9,AA,0.755,115.77,19.41,0.932,8.11,16.15,6.53,8.23
SIM107,Consumer Discretionary,24.8,B,-0.936,70.2,18.42,1.084,8.92,14.95,6.07,8.3
SIM108,Utilities,43.9,AA,0.769,36.02,19.39,0.931,5.07,8.1,5.02,8.23
SIM109,Information Technology,50.0,AAA,1.307,97.26,18.49,0.882,9.35,11.91,6.32,8.04
SIM110,Health Care,41.8,A,0.559,229.04,18.53,0.95,-0.32,11.73,5.91,8.13
SIM111,Industrials,46.8,AA,1.033,61.91,23.05,0.907,5.28,9.94,5.83,8.69
SIM112,Industrials,16.9,CCC,-1.606,90.35,22.39,1.145,10.07,11.82,4.89,8.92
SIM113,Consumer Staples,38.4,BBB,0.248,236.47,15.97,0.978,8.63,15.78,5.99,7.83
SIM114,Industrials,38.2,BBB,0.246,2.21,24.64,0.978,6.47,12.96,5.25,9.0
SIM115,Financial Services,39.5,A,0.387,909.79,15.53,0.965,7.98,13.67,5.33,7.75
SIM116,Materials,25.2,B,-0.918,45.19,18.42,1.083,9.43,15.1,5.22,8.3
SIM117,Real Estate,58.3,AAA,2.06,15.09,19.27,0.815,1.97,12.78,6.25,8.05
SIM118,Consumer Discretionary,26.4,B,-0.778,26.51,28.36,1.07,7.74,13.66,5.36,9.62
SIM119,Financial Services,30.0,BB,-0.464,403.89,13.7,1.042,12.27,17.21,5.61,7.6
SIM120,Utilities,32.6,BBB,-0.22,14.95,16.44,1.02,7.8,12.18,6.79,7.95
SIM121,Utilities,33.7,BBB,-0.154,30.77,19.37,1.014,5.09,13.66,3.6,8.33
SIM122,Industrials,14.7,CCC,-1.812,68.99,19.32,1.163,11.8,13.63,5.65,8.53
SIM123,Communication Services,37.5,BBB,0.225,177.22,18.99,0.98,6.65,16.11,5.59,8.24
SIM124,Communication Services,42.0,A,0.575,267.67,17.88,0.948,8.3,8.32,5.59,8.04
SIM125,Consumer Discretionary,50.2,AAA,1.309,57.91,21.01,0.882,4.64,13.16,5.28,8.38
SIM126,Industrials,26.6,B,-0.777,107.93,17.57,1.07,5.61,14.45,7.44,8.17
SIM127,Industrials,28.6,BB,-0.566,29.57,18.88,1.051,3.42,18.94,6.01,8.32
SIM128,Consumer Discretionary,38.7,A,0.306,176.72,18.22,0.972,9.9,12.73,5.72,8.12
SIM129,Financial Services,11.8,CCC,-2.079,36.72,20.99,1.187,6.71,13.27,3.55,8.78
SIM130,Information Technology,52.4,AAA,1.506,15.66,25.79,0.864,9.49,19.24,5.75,9.0
SIM131,Consumer Discretionary,26.6,B,-0.773,308.53,12.68,1.07,1.98,13.78,5.26,7.5
SIM132,Utilities,39.8,A,0.405,254.41,11.96,0.964,5.55,9.12,6.16,7.27
SIM133,Communication Services,39.6,A,0.39,43.9,17.99,0.965,5.63,17.89,5.25,8.08
SIM134,Health Care,17.3,CCC,-1.594,217.18,13.65,1.143,5.21,14.06,3.02,7.73
SIM135,Real Estate,50.6,AAA,1.344,445.58,13.7,0.879,5.53,12.73,6.74,7.39
SIM136,Health Care,26.3,B,-0.803,150.0,12.38,1.072,2.17,10.19,4.9,7.47
SIM137,Materials,16.6,CCC,-1.674,103.9,22.19,1.151,5.21,15.37,5.5,8.9
SIM138,Industrials,27.1,B,-0.722,158.19,15.1,1.065,13.56,6.17,5.75,7.83
SIM139,Communication Services,44.7,AA,0.847,83.02,18.71,0.924,9.47,12.31,6.42,8.12
SIM140,Information Technology,34.0,BBB,-0.109,135.29,20.78,1.01,1.44,15.45,2.64,8.52
SIM141,Industrials,37.7,BBB,0.215,29.04,27.53,0.981,5.75,17.79,5.38,9.39
SIM142,Industrials,37.6,BBB,0.218,31.62,22.96,0.98,0.51,11.39,3.96,8.77
SIM143,Consumer Staples,30.7,BB,-0.391,130.79,16.89,1.035,6.71,17.57,5.5,8.03
SIM144,Consumer Staples,31.8,BB,-0.319,8.11,17.25,1.029,5.4,11.51,5.48,8.07
SIM145,Utilities,43.1,A,0.708,10.99,21.82,0.936,3.23,17.53,6.47,8.56
SIM146,Industrials,33.9,BBB,-0.141,5.13,26.27,1.013,4.43,11.93,6.0,9.26
SIM147,Consumer Staples,23.8,B,-1.003,127.85,20.47,1.09,8.52,13.6,4.12,8.58
SIM148,Financial Services,32.4,BBB,-0.238,42.11,21.47,1.021,1.38,13.14,3.72,8.63
SIM149,Materials,36.1,BBB,0.07,338.83,19.36,0.994,-1.4,9.91,6.21,8.31
SIM150,Communication Services,42.3,A,0.61,30.79,23.58,0.945,4.83,13.05,6.71,8.81
SIM151,Communication Services,42.7,A,0.655,44.47,28.76,0.941,8.48,12.75,6.52,9.5
SIM152,Consumer Discretionary,36.0,BBB,0.074,21.35,17.66,0.993,5.27,15.08,5.02,8.08
SIM153,Health Care,32.5,BB,-0.257,64.12,21.12,1.023,-1.42,11.14,4.45,8.58
SIM154,Industrials,33.6,BBB,-0.146,76.27,20.42,1.013,4.63,11.36,5.03,8.47
SIM155,Consumer Discretionary,47.9,AA,1.121,29.16,27.43,0.899,8.69,11.85,4.82,9.27
SIM156,Consumer Staples,32.2,BBB,-0.25,61.76,15.85,1.022,6.53,13.79,4.5,7.87
SIM157,Communication Services,34.0,BBB,-0.126,171.57,17.03,1.011,5.73,15.06,5.05,8.01
SIM158,Health Care,29.1,BB,-0.546,82.02,21.83,1.049,7.08,12.38,6.06,8.71
SIM159,Health Care,32.6,BBB,-0.246,33.06,21.26,1.022,0.38,15.04,5.28,8.6
SIM160,Consumer Staples,40.4,A,0.458,29.38,19.07,0.959,9.1,14.36,7.59,8.22
